case_id;zapytanie_uzytkownika;cel_wyszukiwania;wymagany_url_lub_id;warto_pominac_url_lub_id;oczekiwany_zakres_dat;typ_przypadku;uwagi_redakcyjne;status_oceny
001;;;;;;;nieuzupelnione
002;;;;;;;nieuzupelnione
003;;;;;;;nieuzupelnione
004;;;;;;;nieuzupelnione
005;;;;;;;nieuzupelnione
006;;;;;;;nieuzupelnione
007;;;;;;;nieuzupelnione
008;;;;;;;nieuzupelnione
009;;;;;;;nieuzupelnione
010;;;;;;;nieuzupelnione
011;;;;;;;nieuzupelnione
012;;;;;;;nieuzupelnione
013;;;;;;;nieuzupelnione
014;;;;;;;nieuzupelnione
015;;;;;;;nieuzupelnione
016;;;;;;;nieuzupelnione
017;;;;;;;nieuzupelnione
018;;;;;;;nieuzupelnione
019;;;;;;;nieuzupelnione
020;;;;;;;nieuzupelnione
